Color,Time,Block,Treatment,Particles
Green,0,1,Shock,2771
Green,10,1,Shock,2442
Green,20,1,Shock,2174
Green,30,1,Shock,2411
Green,0,2,Shock,1189
Green,10,2,Shock,1215
Green,20,2,Shock,1516
Green,30,2,Shock,1534
Green,0,3,Shock,2142
Green,10,3,Shock,2277
Green,20,3,Shock,2109
Green,30,3,Shock,2377
Green,0,4,Shock,2481
Green,10,4,Shock,1883
Green,20,4,Shock,1902
Green,30,4,Shock,2162
White,0,1,Shock,2417
White,10,1,Shock,2038
White,20,1,Shock,1799
White,30,1,Shock,1719
White,0,2,Shock,1880
White,10,2,Shock,1857
White,20,2,Shock,1810
White,30,2,Shock,1675
White,0,3,Shock,1860
White,10,3,Shock,1926
White,20,3,Shock,1854
White,30,3,Shock,1683
White,0,4,Shock,1877
White,10,4,Shock,2058
White,20,4,Shock,1970
White,30,4,Shock,1796
Dark,0,1,Shock,1161
Dark,10,1,Shock,1322
Dark,20,1,Shock,1532
Dark,30,1,Shock,1446
Dark,0,2,Shock,2239
Dark,10,2,Shock,1590
Dark,20,2,Shock,1407
Dark,30,2,Shock,1441
Dark,0,3,Shock,1949
Dark,10,3,Shock,1540
Dark,20,3,Shock,1429
Dark,30,3,Shock,1390
Dark,0,4,Shock,1371
Dark,10,4,Shock,1534
Dark,20,4,Shock,1287
Dark,30,4,Shock,1683
Red,0,1,Shock,1271
Red,10,1,Shock,1974
Red,20,1,Shock,1681
Red,30,1,Shock,1819
Red,0,2,Shock,2753
Red,10,2,Shock,1550
Red,20,2,Shock,1279
Red,30,2,Shock,1342
Red,0,3,Shock,1915
Red,10,3,Shock,1727
Red,20,3,Shock,1664
Red,30,3,Shock,1837
Red,0,4,Shock,1114
Red,10,4,Shock,1373
Red,20,4,Shock,1379
Red,30,4,Shock,1231
