Color,Time,Block,Treatment,Particles
Green,0,1,Shock,0
Green,10,1,Shock,2007
Green,20,1,Shock,1843
Green,30,1,Shock,1670
Green,0,2,Shock,2738
Green,10,2,Shock,2128
Green,20,2,Shock,2013
Green,30,2,Shock,1868
Green,0,3,Shock,2540
Green,10,3,Shock,2393
Green,20,3,Shock,2097
Green,30,3,Shock,1978
Green,0,4,Shock,2342
Green,10,4,Shock,2110
Green,20,4,Shock,2025
Green,30,4,Shock,1907
White,0,1,Shock,3013
White,10,1,Shock,2671
White,20,1,Shock,2501
White,30,1,Shock,2134
White,0,2,Shock,2640
White,10,2,Shock,2388
White,20,2,Shock,2284
White,30,2,Shock,2031
White,0,3,Shock,2684
White,10,3,Shock,2086
White,20,3,Shock,2025
White,30,3,Shock,1742
White,0,4,Shock,3393
White,10,4,Shock,2929
White,20,4,Shock,2561
White,30,4,Shock,2410
Dark,0,1,Shock,2181
Dark,10,1,Shock,1918
Dark,20,1,Shock,1818
Dark,30,1,Shock,1750
Dark,0,2,Shock,2516
Dark,10,2,Shock,2263
Dark,20,2,Shock,2058
Dark,30,2,Shock,1941
Dark,0,3,Shock,2330
Dark,10,3,Shock,2192
Dark,20,3,Shock,1805
Dark,30,3,Shock,1727
Dark,0,4,Shock,2085
Dark,10,4,Shock,2040
Dark,20,4,Shock,1858
Dark,30,4,Shock,1528
Red,0,1,Shock,2308
Red,10,1,Shock,2166
Red,20,1,Shock,2122
Red,30,1,Shock,2011
Red,0,2,Shock,1984
Red,10,2,Shock,1813
Red,20,2,Shock,1806
Red,30,2,Shock,1797
Red,0,3,Shock,2212
Red,10,3,Shock,2046
Red,20,3,Shock,2036
Red,30,3,Shock,1930
Red,0,4,Shock,2137
Red,10,4,Shock,1936
Red,20,4,Shock,1793
Red,30,4,Shock,1701
